iter	Logloss
0	0.680906981
1	0.6683145016
2	0.658229453
3	0.6502449674
4	0.6417589397
5	0.636658346
6	0.6305123763
7	0.627242646
8	0.6245813838
9	0.6223242972
10	0.6193881815
11	0.6180084572
12	0.6155367829
13	0.6145723229
14	0.6137709208
15	0.6119445552
16	0.6112015724
17	0.6105469009
18	0.6098951202
19	0.6089223974
20	0.608594507
21	0.608321786
22	0.6074405976
23	0.6072454525
24	0.6070978111
25	0.606955138
26	0.6067574516
27	0.6065354964
28	0.606470632
29	0.6063434873
30	0.6059092795
31	0.6054092508
32	0.6052791221
33	0.6051882523
34	0.6051090116
35	0.6047195809
36	0.6042137577
37	0.6039229567
38	0.6035705282
39	0.6034769777
40	0.6032871614
41	0.6028991155
42	0.6028404091
43	0.6025374873
44	0.6024690698
45	0.6023940595
46	0.6022609655
47	0.6020576467
48	0.6018766349
49	0.6017688276
50	0.6016345923
51	0.6015951867
52	0.601484023
53	0.6014291926
54	0.60142711
55	0.6013708765
56	0.6012437272
57	0.6012207669
58	0.6011922575
59	0.6011176711
60	0.6010740839
61	0.6010076487
62	0.6010075918
63	0.6009739812
64	0.6008661971
65	0.6007827453
66	0.6007583605
67	0.6006391534
68	0.6006375192
69	0.6006062661
70	0.6005735224
71	0.6005104551
72	0.6004672693
73	0.6003960841
74	0.6003382646
75	0.6003132183
76	0.6003125681
77	0.6002384613
78	0.6001684713
79	0.6001671746
80	0.6001663152
81	0.600146524
82	0.6000686207
83	0.6000340775
84	0.5999786956
85	0.5999745081
86	0.5999204669
87	0.5999075767
88	0.599890047
89	0.5998832434
90	0.5998450352
91	0.5998122568
92	0.5997823142
93	0.5997630971
94	0.5997331406
95	0.5997271579
96	0.59971623
97	0.5996813646
98	0.5996670543
99	0.5996078798
100	0.5995920781
101	0.5995830161
102	0.599578856
103	0.5995788559
104	0.5995647659
105	0.5995533442
106	0.5995141669
107	0.5994859083
108	0.5994756556
109	0.5994737719
110	0.5994736209
111	0.5994271008
112	0.5994236747
113	0.5993876986
114	0.5993732345
115	0.5993434133
116	0.5993403326
117	0.5993403307
118	0.5993186742
119	0.5992646625
120	0.5992191152
121	0.5991987535
122	0.5991701804
123	0.5991657207
124	0.5991657207
125	0.5991643713
126	0.599158562
127	0.5991476776
128	0.5991461656
129	0.599111888
130	0.5991036183
131	0.5991030432
132	0.5990915596
133	0.599064283
134	0.5990464803
135	0.5990193935
136	0.5990124357
137	0.5989756494
138	0.5989669828
139	0.5989145056
140	0.5989123664
141	0.5988801284
142	0.5988303496
143	0.5988219072
144	0.5987569341
145	0.5987135261
146	0.5986882502
147	0.5986410639
148	0.5986070735
149	0.5986035964
150	0.5985948596
151	0.5985797724
152	0.5984971298
153	0.5984396647
154	0.5983906335
155	0.5983596098
156	0.5983510221
157	0.5983013606
158	0.5982515754
159	0.5982122562
160	0.5981674663
161	0.5981194868
162	0.5980999382
163	0.5980466259
164	0.5980055968
165	0.5979869187
166	0.5979453468
167	0.5978963786
168	0.597833632
169	0.5977677396
170	0.5977254516
171	0.5976575362
172	0.5975780687
173	0.5975265693
174	0.5974688556
175	0.5974177795
176	0.5973717468
177	0.5973267113
178	0.5972915634
179	0.597248986
180	0.5972121061
181	0.597154516
182	0.5970999349
183	0.5970462645
184	0.5970099918
185	0.5969622844
186	0.5969339373
187	0.5968972226
188	0.5968580106
189	0.5968200418
190	0.5967856681
191	0.5967445627
192	0.5967202838
193	0.5966808088
194	0.5966276085
195	0.5966027789
196	0.5965761069
197	0.5965561693
198	0.5964993188
199	0.5964637375
200	0.5963980631
201	0.596360354
202	0.5963268366
203	0.5962784977
204	0.5962314921
205	0.5961831028
206	0.5961404112
207	0.596103093
208	0.5960545861
209	0.5960157037
210	0.5959848518
211	0.5959441508
212	0.5959058749
213	0.59586783
214	0.5958376573
215	0.5957899396
216	0.595767707
217	0.595721716
218	0.5956821452
219	0.5956293632
220	0.5955960657
221	0.5955670689
222	0.595511768
223	0.5954768145
224	0.5954390484
225	0.5953932773
226	0.5953673887
227	0.5953332582
228	0.5952897386
229	0.5952458629
230	0.5952012219
231	0.5951642146
232	0.595117896
233	0.5950836707
234	0.5950474531
235	0.5950174899
236	0.5949835243
237	0.5949499859
238	0.5949323714
239	0.5949004021
240	0.5948569421
241	0.594824875
242	0.5947900895
243	0.5947823863
244	0.5947650151
245	0.5947322399
246	0.5947035716
247	0.5946454763
248	0.5946189516
249	0.5945758324
250	0.5945608604
251	0.594546479
252	0.5945187437
253	0.594517689
254	0.5944958512
255	0.594476201
256	0.5944381785
257	0.5944094807
258	0.5943788658
259	0.5943250434
260	0.5942765186
261	0.5942468521
262	0.5942267646
263	0.5941958253
264	0.5941547575
265	0.5941431929
266	0.5941052425
267	0.5940636857
268	0.5940213606
269	0.5940177633
270	0.5939885409
271	0.5939631265
272	0.5939498546
273	0.5939127087
274	0.5938657453
275	0.5938229129
276	0.5938034092
277	0.5937992339
278	0.5937772075
279	0.593744608
280	0.5937180931
281	0.5937006013
282	0.5936599361
283	0.5936218497
284	0.5935895727
285	0.5935649234
286	0.5935421852
287	0.5935058238
288	0.5934837961
289	0.5934577533
290	0.5934219611
291	0.5933768643
292	0.59336262
293	0.5933584759
294	0.5933384591
295	0.5933175113
296	0.5932884979
297	0.5932438175
298	0.5932139169
299	0.5931817272
