iter	Passed	Remaining
0	1616	483288
1	3999	595924
2	6002	594233
3	7890	583872
4	9881	583003
5	10788	528645
6	12493	522957
7	13340	486911
8	14871	480851
9	16309	472975
10	18976	498571
11	19933	478400
12	21997	485641
13	23460	479259
14	24546	466383
15	26667	473347
16	28310	471292
17	29857	467772
18	31220	461738
19	32706	457894
20	34489	458221
21	35761	451893
22	38207	460154
23	39532	454624
24	40876	449643
25	42535	448263
26	44531	450259
27	46936	455957
28	47850	447153
29	49499	445491
30	51208	444353
31	53744	450111
32	55421	448406
33	56842	444712
34	58249	441035
35	60402	442954
36	62987	447719
37	65652	452654
38	68086	455658
39	70654	459251
40	73162	462172
41	75518	463901
42	77948	465879
43	80466	468170
44	82797	469185
45	85071	469742
46	87506	471046
47	89891	471932
48	93021	476499
49	95551	477758
50	98673	481758
51	101466	483915
52	104384	486469
53	106591	485585
54	107257	477785
55	109697	477969
56	112357	478997
57	114767	478858
58	116833	477234
59	119573	478292
60	121304	475273
61	124118	476454
62	124715	469168
63	127173	468952
64	129311	467511
65	132113	468401
66	134395	467376
67	136668	466282
68	137584	460608
69	139484	458306
70	141206	455440
71	143866	455576
72	146260	454811
73	149231	455761
74	151707	455123
75	154291	454752
76	154942	448729
77	157491	448244
78	160048	447730
79	160894	442459
80	161921	437786
81	164071	436190
82	166445	435164
83	169371	435526
84	171340	433390
85	172282	428703
86	174625	427531
87	177003	426417
88	179164	424760
89	180857	422001
90	183863	422279
91	186224	421029
92	188839	420320
93	191182	418974
94	193234	416979
95	195808	416092
96	198176	414740
97	201027	414362
98	203437	413039
99	206178	412356
100	208070	409961
101	210060	407763
102	211400	404328
103	211813	399186
104	214269	397929
105	216917	396999
106	219650	396192
107	222569	395679
108	224580	393530
109	227050	392178
110	228173	388511
111	231189	388068
112	233521	386446
113	236518	385898
114	238783	384129
115	241723	383423
116	243786	381307
117	244411	376973
118	246781	375356
119	249253	373879
120	251985	372771
121	254753	371688
122	256983	369805
123	258763	367276
124	259253	362955
125	260215	359345
126	261342	356002
127	263191	353663
128	264007	349962
129	266659	348708
130	268898	346899
131	270042	343690
132	272250	341847
133	274539	340101
134	277385	339026
135	280096	337763
136	282378	335968
137	284709	334224
138	286879	332284
139	289565	330931
140	291954	329225
141	294304	327465
142	296867	325931
143	298793	323692
144	301729	322538
145	304429	321110
146	307384	319931
147	310035	318414
148	312858	317058
149	314894	314894
150	316533	312340
151	318697	310311
152	321711	309095
153	324221	307378
154	326859	305771
155	329138	303820
156	331622	302051
157	334379	300518
158	337137	298970
159	339732	297265
160	342257	295489
161	345108	293981
162	347814	292334
163	350490	290650
164	353271	289039
165	355475	286949
166	358611	285600
167	361279	283862
168	363633	281869
169	366247	280071
170	369122	278460
171	371678	276597
172	374327	274795
173	376940	272956
174	379579	271128
175	381975	269119
176	384632	267286
177	387455	265559
178	390163	263741
179	392620	261746
180	395436	259983
181	398140	258134
182	400774	256232
183	402650	253844
184	405081	251807
185	407540	249783
186	410360	247971
187	413059	246077
188	415234	243867
189	417606	241772
190	420121	239755
191	422952	237910
192	425841	236088
193	428570	234167
194	431313	232245
195	434176	230379
196	437153	228562
197	439774	226550
198	442770	224722
199	445620	222810
200	448118	220715
201	450716	218664
202	453300	216601
203	455627	214412
204	458444	212449
205	460967	210344
206	463621	208293
207	466096	206158
208	468675	204064
209	471238	201959
210	474011	199938
211	476477	197783
212	479196	195727
213	481939	193676
214	484936	191719
215	487745	189678
216	490592	187645
217	493055	185461
218	495862	183401
219	498689	181341
220	501612	179309
221	504306	177188
222	506679	174951
223	509631	172910
224	512499	170833
225	515230	168703
226	518017	166587
227	520819	164469
228	523652	162355
229	526260	160166
230	528853	157969
231	531421	155761
232	534116	153587
233	536963	151451
234	539481	149218
235	541777	146922
236	544440	144724
237	547130	142529
238	550026	140383
239	552997	138249
240	556200	136165
241	558794	133925
242	561459	131700
243	564285	129508
244	567064	127300
245	569745	125066
246	572402	122823
247	575145	120594
248	578165	118419
249	580721	116144
250	583363	113883
251	585533	111530
252	588025	109237
253	589779	106810
254	592892	104628
255	595590	102367
256	598290	100103
257	601026	97841
258	603600	95550
259	606100	93246
260	608838	90975
261	611536	88696
262	614255	86416
263	616995	84135
264	619803	81860
265	622336	79546
266	624811	77223
267	627840	74966
268	630209	72626
269	632323	70258
270	634988	67950
271	637549	65630
272	640447	63340
273	642913	61006
274	645379	58670
275	647955	56343
276	651146	54066
277	653148	51687
278	655814	49362
279	658628	47044
280	661188	44706
281	663922	42378
282	666318	40026
283	668674	37671
284	671160	35324
285	673848	32985
286	676493	30642
287	679084	28295
288	682365	25972
289	684882	23616
290	687707	21269
291	690552	18919
292	693599	16570
293	696050	14205
294	698119	11832
295	700784	9470
296	703642	7107
297	706309	4740
298	708700	2370
299	711337	0
